Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;;
17.12.2015;Le juge Sergio Moro, lEliot Ness brésilien;http://www.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;Lava Jato;Correspondente Claire Gatinois;fonte anônima próxima de Moro;Sérgio Moro;Perfil de Sergio Moro. Sergio Moro, le « petit juge de province », un brun à la mâchoire carrée, haï des politiques et craint des puissants, mais adulé des simples citoyens brésiliens, sait quil a entre ses mains laffaire de sa vie. Le scandale à même de transformer son pays.;
05.02.2016;"Au Brésil, le carnaval des illusions perdues
";http://www.lemonde.fr/ameriques/article/2016/02/05/au-bresil-le-carnaval-des-illusions-perdues_4860162_3222.html#wjvCtYYROvviHTxU.99;Lava Jato;Correspondente Claire Gatinois;El País;Crise no Brasil;"O texto fala sobre a vendas de máscaras do ""Japonês da Federal"" no Carnaval de 2016 e se refere à Operação Lava Jato como uma versão brasileira da operação ""Mãos Limpas"" ";
05.02.2016;"Au Brésil, le carnaval des illusions perdues
";http://www.lemonde.fr/ameriques/article/2016/02/05/au-bresil-le-carnaval-des-illusions-perdues_4860162_3222.html#wjvCtYYROvviHTxU.99;Lava Jato;Correspondente Claire Gatinois;The Economist;Crise no Brasil;"O texto fala sobre a vendas de máscaras do ""Japonês da Federal"" no Carnaval de 2016 e se refere à Operação Lava Jato como uma versão brasileira da operação ""Mãos Limpas"" ";
05.02.2016;"Au Brésil, le carnaval des illusions perdues
";http://www.lemonde.fr/ameriques/article/2016/02/05/au-bresil-le-carnaval-des-illusions-perdues_4860162_3222.html#wjvCtYYROvviHTxU.99;Lava Jato;Correspondente Claire Gatinois;Folha de S. Paulo;Crise no Brasil;"O texto fala sobre a vendas de máscaras do ""Japonês da Federal"" no Carnaval de 2016 e se refere à Operação Lava Jato como uma versão brasileira da operação ""Mãos Limpas"" ";
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Lula;Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;jornal O Globo;Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Rrevista IstoÉ;Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Folha de S. Paulo;Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;DataFolha;Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Cristiano Noronha (vice-presidente do escritório de análise política Arko Advice);Lula;envolvimento de Lula na Lava Jato ;
