Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;Conteúdo;
19.04.16;Cruelle sortie annoncée pour Dilma Rousseff;http://liberation.fr/planete/2016/04/18/cruelle-sortie-annoncee-pour-dilma-rousseff_1447078;Lava Jato;Christian Losson;Editorial;Impeachment de Dilma;"O jornalista diz que a saída de Dilma é triste, pois ela nunca foi acusada de enriquecimento pessoal. ""Le Brésil, au fond, na pas besoin dun «Lava Jato», un lavage express, mais de réformes profondes (financement des campagnes, gouvernance dun système politique balkanisé, etc.) Au risque, sinon, de faire du pays le seul perdant de ce qui pourrait ressembler à une telenovela en mondovision. Mais nest quun résumé des rapports de force qui structurent bien des pays. Et pas seulement le Brésil""";
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Dilma Rousseff;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Randolfe Rodrigues;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Vanessa Grazziotin;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;procurador Anibal Perez Liñan;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
06.05.16;Brésil : le pourfendeur de Rousseff, arroseur arrosé;http://liberation.fr/planete/2016/05/05/bresil-le-pourfendeur-de-rousseff-arroseur-arrose_1450792;Lava Jato;François Xavier Gomes;Análise/;Eduardo Cunha;O texto fala sobre o afastamento de Eduardo Cunha da Câmara;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Mensagens no Twitter;Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Comunicado da FENAPEF (Federação Nacional de Policiais Federais);Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Luís Humberto Carrijo (responsável pela Comunicação da PF);Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;;Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
13.07.16;Lula : «La politique, cest lart de limpossible»;http://liberation.fr/planete/2016/07/12/luis-inacio-lula-da-silva-la-politique-c-est-l-art-de-l-impossible_1465831;Lava Jato;Chantal Rayes;Lula;Entrevista com Lula;Entrevista com Lula sobre a situação do Brasil, o impeachment de Dilma (não tinha acontecido ainda), seu envolvimento na Operação Lava Jato e seus mandatos e conquistas como presidente do Brasil de 2003 a 2010.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;Dilma Rousseff;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;jornal O Estado de S. Paulo;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Rui Falcão (presidente do PT);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Deltan Dallagnol;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Folha de S. Paulo (citada como pouco amigável com a esquerda);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Cristiano Martins (advogado de Lula);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Lula;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;Rui Falcão (presidente do PT);Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;Deltan Dallagnol;Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;Folha de S. Paulo (citada como pouco amigável com a esquerda);Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;Cristiano Martins (advogado de Lula);Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;Lula;Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Lava Jato;Chantal Rayes;;Lula na Lava Jato/ Powerpoint da PF;Texto igual ao anterior. Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
